id_paper,id_data,species,order,sex,genital/non-genital,organ/structure,morphological_measurement,environmental_condition,plasticity/robustness,author,title,year,journal,doi
273,121,Aphis fabae,Hemiptera,female,non-genital,ovary ,mass,mutualism,plasticity,Stadler; B and Dixon; AFG,Costs of ant attendance for aphids,1998,JOURNAL OF ANIMAL ECOLOGY,10.1046/j.1365-2656.1998.00209.x
273,122,Aphis fabae,Hemiptera,male,non-genital,testicle,mass,mutualism,plasticity,Stadler; B and Dixon; AFG,Costs of ant attendance for aphids,1998,JOURNAL OF ANIMAL ECOLOGY,10.1046/j.1365-2656.1998.00209.x
274,123,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,de Azevedo; Sergio Vicente and Hartfelder; Klaus,The insulin signaling pathway in honey bee (<i>Apis mellifera</i>) caste development -: differential expression of insulin-like peptides and insulin receptors in queen and worker larvae,2008,JOURNAL OF INSECT PHYSIOLOGY,10.1016/j.jinsphys.2008.04.009
275,124,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,Matsuyama; Syuhei and Nagao; Takashi and Sasaki; Ken,Consumption of tyrosine in royal jelly increases brain levels of dopamine and tyramine and promotes transition from normal to reproductive workers in queenless honey bee colonies,2015,GENERAL AND COMPARATIVE ENDOCRINOLOGY,10.1016/j.ygcen.2014.11.005
276,125,Apis mellifera,Hymenoptera,female,genital,spermatheca,size,caste,plasticity,Allsopp; MH and Calis; JNM and Boot; WJ,"Differential feeding of worker larvae affects caste characters in the Cape honeybee, <i>Apis mellifera capensis</i>",2003,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-003-0666-4
278,126,Paracentrobia subflava,Hymenoptera,female,genital,ovipositor ,size,host identity,plasticity,Torres-Moreno; Rosaura and Victor; Javier and Moya-Raygoza; Gustavo,Morphological variation of the parasitic wasp<i> Paracentrobia</i><i> subflava</i> (Hymenoptera: Trichogrammatidae) emerged from different,2021,ZOOLOGISCHER ANZEIGER,10.1016/j.jcz.2021.07.007
278,127,Paracentrobia subflava,Hymenoptera,male,genital,aedeagus ,shape,host identity,robustness,Torres-Moreno; Rosaura and Victor; Javier and Moya-Raygoza; Gustavo,Morphological variation of the parasitic wasp<i> Paracentrobia</i><i> subflava</i> (Hymenoptera: Trichogrammatidae) emerged from different,2021,ZOOLOGISCHER ANZEIGER,10.1016/j.jcz.2021.07.007
290,128,Ephestia kuehniella,Lepidoptera,male,genital,aedeagus ,size,social environment,robustness,Bhavanam; Santhi and Trewick; Steven,"Effects of larval crowding and nutrient limitation on male phenotype, reproductive investment and strategy in <i>Ephestia kuehniella</i> Zeller (Insecta: Lepidoptera)",2017,JOURNAL OF STORED PRODUCTS RESEARCH,10.1016/j.jspr.2017.01.004
301,129,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,Yi; Yao and He; Xu Jiang and Barron; Andrew B. and Liu; Yi Bo and Wang; Zi Long and Yan; Wei Yu and Zeng; Zhi Jiang,Transgenerational accumulation of methylome changes discovered in commercially reared honey bee (<i>Apis mellifera</i>) queens,2020,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,10.1016/j.ibmb.2020.103476
309,130,Drosophila mediopunctata,Diptera,male,genital,aedeagus ,size ,temperature,plasticity,Andrade; CAC and Hatadani; LM and Klaczko; LB,Phenotypic plasticity of the aedeagus of <i>Drosophila mediopunctata</i>:: Effect of the temperature,2005,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2005.05.011
309,131,Drosophila mediopunctata,Diptera,male,genital,aedeagus ,shape,temperature,plasticity,Andrade; CAC and Hatadani; LM and Klaczko; LB,Phenotypic plasticity of the aedeagus of <i>Drosophila mediopunctata</i>:: Effect of the temperature,2005,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2005.05.011
311,132,Zaprionus indianus,Diptera,female,non-genital,ovary ,developmental rate,temperature,plasticity,Lavagnino; N. J. and Fanara; J. J. and Mensch; J.,Comparison of overwintering survival and fertility of <i>Zaprionus indianus</i> (Diptera: Drosophilidae) flies from native and invaded ranges,2020,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2019.102470
311,133,Zaprionus indianus,Diptera,female,non-genital,ovary ,developmental rate,photoperiod ,plasticity,Lavagnino; N. J. and Fanara; J. J. and Mensch; J.,Comparison of overwintering survival and fertility of <i>Zaprionus indianus</i> (Diptera: Drosophilidae) flies from native and invaded ranges,2020,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2019.102470
312,134,Proagoderus watanabei,Coleoptera,male,non-genital,testicle,mass,social environment,plasticity,Parrett; J. M. and Slade; E. M. and Knell; R. J.,"Morph-specific investment in testes mass in a trimorphic beetle, Proagoderus watanabei",2022,JOURNAL OF ZOOLOGY,10.1111/jzo.12941
314,135,Onthophagus nigriventris,Coleoptera,male,non-genital,testicle,size ,trade-off with other traits,plasticity,Simmons; Leigh W. and Emlen; Douglas J.,Evolutionary trade-off between weapons and testes,2006,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.0603474103
315,136,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,He; Hao Xu Jiang and Liao; Chun Hua and Wu; Xiao Bo and Jiang; Wu Jun and Zhang; Bo and Zhou; Lin Bin and Zhang; Li Zhen and Barron; Andrew B. and Zeng; Zhi Jiang,A Maternal Effect on Queen Production in Honeybees,2019,CURRENT BIOLOGY,10.1016/j.cub.2019.05.059
324,137,Apis mellifera,Hymenoptera,female,non-genital,ovary ,developmental rate,caste,plasticity,Koywiwattrakul; Preeyada and Sittipraneed; Siriporn,"Expression of Vitellogenin and Transferrin in Activated Ovaries of Worker Honey Bees, <i>Apis mellifera</i>",2009,BIOCHEMICAL GENETICS,10.1007/s10528-008-9202-6
326,138,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,Thompson; G. J. and Kucharski; R. and Maleszka; R. and Oldroyd; B. P.,Towards a molecular definition of worker sterility: differential gene expression and reproductive plasticity in honey bees,2006,INSECT MOLECULAR BIOLOGY,NA
330,139,Drosophila suzukii,Diptera,female,genital,ovipositor ,size,temperature,plasticity,Clemente; Maria and Fusco; Giuseppe and Tonina; Lorenzo and Giomi; Folco,Temperature-induced phenotypic plasticity in the ovipositor of the invasive species <i>Drosophila suzukii</i>,2018,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.05.001
330,140,Drosophila suzukii,Diptera,female,genital,ovipositor ,shape,temperature,plasticity,Clemente; Maria and Fusco; Giuseppe and Tonina; Lorenzo and Giomi; Folco,Temperature-induced phenotypic plasticity in the ovipositor of the invasive species <i>Drosophila suzukii</i>,2018,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.05.001
333,141,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste ,plasticity,Dallacqua; Rodrigo Pires and Gentile Bitondi; Marcia Maria,Dimorphic Ovary Differentiation in Honeybee (<i>Apis mellifera</i>) Larvae Involves Caste-Specific Expression of Homologs of <i>Ark</i> and <i>Buffy</i> Cell Death Genes,2014,PLOS ONE,10.1371/journal.pone.0098088
334,142,Thorectes lusitanicus,Coleoptera,female,non-genital,ovary ,size,diet,plasticity,Verdu; Jose R. and Casas; Jose L. and Lobo; Jorge M. and Numa; Catherine,Dung Beetles Eat Acorns to Increase Their Ovarian Development and Thermal Tolerance,2010,PLOS ONE,10.1371/journal.pone.0010114
334,143,Thorectes lusitanicus,Coleoptera,female,non-genital,ovary ,mass,diet,plasticity,Verdu; Jose R. and Casas; Jose L. and Lobo; Jorge M. and Numa; Catherine,Dung Beetles Eat Acorns to Increase Their Ovarian Development and Thermal Tolerance,2010,PLOS ONE,10.1371/journal.pone.0010114
334,144,Thorectes lusitanicus,Coleoptera,female,non-genital,ovary ,developmental rate,diet,plasticity,Verdu; Jose R. and Casas; Jose L. and Lobo; Jorge M. and Numa; Catherine,Dung Beetles Eat Acorns to Increase Their Ovarian Development and Thermal Tolerance,2010,PLOS ONE,10.1371/journal.pone.0010114
338,145,Colaphellus bowringi,Coleoptera,female,non-genital,ovary ,developmental rate,photoperiod ,plasticity,Guo; Shuang and Tian; Zhong and Wu; Qing-Wen and King-Jones; Kirst and Liu; Wen and Zhu; Fen and Wang; Xiao-Ping,Steroid hormone ecdysone deficiency stimulates preparation for photoperiodic reproductive diapause,2021,PLOS GENETICS,10.1371/journal.pgen.1009352
340,146,Enchenopa binotata ,Hemiptera,male,genital,aedeagus ,size,host identity,robustness,Rodriguez; Rafael L. and Al-Wathiqui; Nooria,"Genotype x environment interaction in the allometry of body, genitalia and signal traits in <i>Enchenopa</i> treehoppers (Hemiptera: Membracidae)",2012,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/j.1095-8312.2011.01783.x
340,147,Enchenopa binotata ,Hemiptera,male,genital,stylus,size,host identity,robustness,Rodriguez; Rafael L. and Al-Wathiqui; Nooria,"Genotype x environment interaction in the allometry of body, genitalia and signal traits in <i>Enchenopa</i> treehoppers (Hemiptera: Membracidae)",2012,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/j.1095-8312.2011.01783.x
343,148,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,Zhang; Yong and He; Xu Jiang and Barron; Andrew B. and Li; Zhen and Jin; Meng Jie and Wang; Zi Long and Huang; Qiang and Zhang; Li Zhen and Wu; Xiao Bo and Yan; Wei Yu and Zeng; Zhi Jiang,The diverging epigenomic landscapes of honeybee queens and workers revealed by multiomic sequencing,2023,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,10.1016/j.ibmb.2023.103929
345,149,Drosophila gouveai,Diptera,male,genital,aedeagus ,size,host identity,plasticity,Soto; I. M. and Manfrin; M. H. and Hasson; E.,"Host-dependent phenotypic plasticity of aedeagus morphology in a pair of cactophilic sibling <i>Drosophila</i> species of the <i>repleta</i> group (Diptera, Drosophilidae)",2008,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,10.1111/j.1439-0469.2008.00467.x
